case_id,experiment,variant,batch,model,GPU,one_way_link_GBps,prompt_tokens,query_tokens,generated_tokens,TTFT_ms,TBT_ms,E2E_ms,TTFT_energy_mJ,TBT_energy_mJ,E2E_energy_mJ,E2E_energy_per_request_mJ,throughput_requests_per_s,prefill_attention_service_ms,prefill_common_GPU_ms,prefill_attention_service_fraction,prefill_attention_kernel_ms,prefill_PIM_scan_ms,remote_peak_KV_MiB,remote_immutable_KV_MiB,remote_peak_private_KV_MiB,GPU_peak_KV_MiB,total_GPU_remote_peak_KV_MiB,GPU_native_weights_MiB,GPU_native_temp_MiB,GPU_peak_modeled_total_MiB,prefill_GPU_layers,prefill_PIM_layers,cold_warmup_plus_batch_E2E_ms,cold_warmup_plus_batch_E2E_energy_mJ
Fugue-asplos-EPIC-long-4000,4,F1,1,LLAMA-7B,A100a,300,4028,106,16,21.08466946869392,7.970099570190335,140.63616302154895,1337.4125951385572,496.15770044279463,8779.778101780475,8779.778101780475,7.1105466653464875,13.56478020166035,7.519889267033549,0.6433480127255998,6.710588414993683,0,2014.0,2014.0,0.0,2021.5,4035.5,12288.0,0.616912841796875,14310.116912841797,32,0,431.38322774782387,37637.368448245754
Fugue-asplos-EPIC-long-4000,4,F2,1,LLAMA-7B,A100a,300,4028,106,16,28.12410968202728,5.6212519074343055,112.44288829354187,1359.3756486041575,436.41162799404367,7905.550068514813,7905.550068514813,8.893403710774608,20.604220414993684,7.519889267033549,0.7326176952069295,6.710588414993683,0,4035.5,2014.0,2021.5,62.9375,4090.9375,12288.0,0.616912841796875,12351.554412841797,32,0,403.1899530198168,36763.140414980095
Fugue-asplos-EPIC-long-4000,4,F3,1,LLAMA-7B,A100a,300,4028,106,16,21.08466946869392,5.6212519074343055,105.40344808020852,1337.9905702297572,436.41162799404367,7884.164990140412,7884.164990140412,9.487355662587369,13.56478020166035,7.519889267033549,0.6433480127255998,6.710588414993683,0,2074.5,2014.0,60.5,62.9375,2129.9375,12288.0,0.616912841796875,12351.554412841797,32,0,396.15051280648345,36741.75533660569
Fugue-asplos-EPIC-long-4000,4,F4,1,LLAMA-7B,A100a,300,4028,106,16,13.10456010849096,5.6212519074343055,97.42333872000555,1226.8062153572316,436.41162799404367,7772.980635267886,7772.980635267886,10.264480905073453,5.584670841457436,7.519889267033549,0.4261624041724909,5.214173988124103,4.5620032959999985,2074.5,2014.0,60.5,1.65625,2074.515625,12288.0,0.616912841796875,12290.273162841797,0,32,388.17040344628043,36630.570981733166
Fugue-asplos-EPIC-long-8000,4,F1,1,LLAMA-7B,A100a,300,8033,186,16,44.710184609344424,10.49623518720564,202.15371241742903,2374.098694164479,565.7628667596798,10860.541695559677,10860.541695559677,4.94673082201474,33.31674936222004,11.393435247124506,0.7451713665091141,19.603122908886707,0,4016.5,4016.5,0.0,4024.0,8040.5,12288.0,1.22802734375,16313.22802734375,32,0,771.350483343968,67175.75941355519
Fugue-asplos-EPIC-long-8000,4,F2,1,LLAMA-7B,A100a,300,8033,186,16,58.748869622677624,5.828159252500973,146.17125841019225,2417.8993914060784,446.7113955303423,9118.570324361213,9118.570324361213,6.841290215849109,47.355434375553365,11.393435247124506,0.8060654558921677,19.603122908886707,0,8040.5,4016.5,4024.0,125.515625,8158.515625,12288.0,1.22802734375,12414.74365234375,32,0,715.3680293367313,65433.78804235674
Fugue-asplos-EPIC-long-8000,4,F3,1,LLAMA-7B,A100a,300,8033,186,16,44.710184609344424,5.828159252500973,132.13257339685904,2375.112876871679,446.7113955303423,9075.783809826815,9075.783809826815,7.56815654378053,33.31674936222004,11.393435247124506,0.7451713665091141,19.603122908886707,0,4117.0,4016.5,100.5,125.515625,4235.015625,12288.0,1.22802734375,12414.74365234375,32,0,701.329344323398,65391.001527822336
Fugue-asplos-EPIC-long-8000,4,F4,1,LLAMA-7B,A100a,300,8033,186,16,30.55075743198383,5.828159252500973,117.97314621949846,2108.3773245407237,446.7113955303423,8809.048257495859,8809.048257495859,8.476505306889248,19.157322184859197,11.393435247124506,0.627065375629716,18.507205064859196,16.224989504000007,4117.0,4016.5,100.5,2.90625,4117.015625,12288.0,1.22802734375,12292.13427734375,0,32,687.1699171460375,65124.265975491384
Fugue-asplos-EPIC-long-16000,4,F1,1,LLAMA-7B,A100a,300,16045,346,16,114.37097695181,15.54976791218107,347.6174956345261,5262.603513139204,705.0080035573759,15837.723566499842,15837.723566499842,2.8767251722317453,93.72794914988887,20.643027801921267,0.8195081623669338,66.29195810988887,0,8022.5,8022.5,0.0,8030.0,16052.5,12288.0,2.4505615234375,20320.450561523438,32,0,1471.4367104827677,127107.10656995329
Fugue-asplos-EPIC-long-16000,4,F2,1,LLAMA-7B,A100a,300,16045,346,16,142.41164681847675,6.232449006100972,235.89838190999114,5350.090403123202,467.3202103099391,12359.893557772286,12359.893557772286,4.239113434790569,121.76861901655555,20.643027801921267,0.8550467727668816,66.29195810988887,0,16052.5,8022.5,8030.0,250.703125,16295.703125,12288.0,2.4505615234375,12541.153686523438,32,0,1359.7175967582327,123629.27656122572
