model,config,k,workload,agents,rung,makespan_s,energy_nj,link_bytes,event_count,policy,kv_mapping,decode_attn,pim_prefill_mode,energy_gpu_nj,energy_pim_nj,energy_link_nj,energy_die_nj,energy_tlb_nj,gpu_time_s_unoverlapped,pim_time_s_unoverlapped,pim_pool_time_s_unoverlapped,die_time_s_unoverlapped,prefill_rows_gpu,prefill_rows_pim,prefill_requests_gpu,prefill_requests_pim,requests,tiers,history_rows,cacheblend_batch_size,gemv_buffer_bytes,pim_sweep_query_capacity,pim_pe_freq_ghz,pim_batch_command,engine,workload_kind_reported,overlap_passed,overlap_events_checked
GPT-13B,C-hi,8,wl_C64.json,32,A1,138.39207757854058,197077139047160.7,495373516800.0,8702720.0,no-reuse-physical,private,pim,gpu,7986916006761.722,189079919159804.6,10303769149.61351,104191.75424062418,,40.409050870720066,78.52887803727677,17.798332497956025,0.0045710968973859106,23777280.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,8702720.0
GPT-13B,C-hi,8,wl_C64.json,32,A2,349.7082197557013,7232099164755.376,63439896576000.0,35288.0,recompute,none,gpu,gpu,5912549315975.232,,1319549848780.854,,,138.2418978357068,,0.0,0.0,1216320.0,0.0,32,0,32,2,4096.0,,,,,,dag,supervisor,,
GPT-13B,C-hi,8,wl_C64.json,32,A3,37.3830400906651,24395796602151.02,256388341792.0,4597032.0,recompute,naive,pim,gpu,1686343166860.4258,22704120466073.805,5332877509.21301,40376.812607963686,51464.40939996362,16.215731976529497,5.5612622646827586e-05,17.737632814985236,0.0017714100715785716,1216320.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4597032.0
GPT-13B,C-hi,8,wl_C64.json,32,A3a,34.87147223751039,24637471880861.477,256388341792.0,4597032.0,recompute,naive-mask,pim,gpu,1686343166860.4258,22945795795633.004,5332877509.21301,40376.812607963686,498.06060000090065,16.215731976529497,5.5612622646827586e-05,17.774382402263296,0.0017714100715785716,1216320.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4597032.0
GPT-13B,C-hi,8,wl_C64.json,32,A3b,36.760680799507035,24407837344891.55,256388341792.0,7483432.0,recompute,naive,pim,gpu,1686343166860.4258,22716161086907.984,5332877509.21301,162377.29900880222,51464.40939996362,16.215731976529497,5.5612622646827586e-05,17.10992112466605,0.007123811026259243,1216320.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7483432.0
GPT-13B,C-hi,8,wl_C64.json,32,A4,34.29179231255214,24648083187961.97,256388341792.0,7209512.0,recompute,master-diff,pim,gpu,1686343166860.4258,22956406995740.02,5332877509.21301,147893.84300892477,203.47130000013365,16.215731976529497,5.5612622646827586e-05,17.204714957351275,0.006488393365211832,1216320.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7209512.0
GPT-13B,C-hi,8,wl_C64.json,32,A4b,34.24508369477527,24648940847659.832,256388341792.0,7414312.0,recompute,master-diff,pim,gpu,1686343166860.4258,22957264646767.105,5332877509.21301,156583.9166087554,203.47130000013365,16.215731976529497,5.5612622646827586e-05,17.157625088521154,0.006869643961821937,1216320.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,7414312.0
GPT-13B,C-hi,8,wl_C64.json,32,A5,24.45853004909816,11880230256119.078,26502799392.0,9677232.0,recompute,master-diff,pim,pim,1475440723846.1394,10404237952199.39,551258227.3531661,321596.6116633102,267.35770000016583,11.787729011340213,5.5612622646827586e-05,12.554925798186272,0.014109074988337546,666240.0,550080.0,1,31,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,9677232.0
GPT-13B,C-hi,8,wl_C64.json,32,A6,24.45853004909816,11880230256119.078,26502799392.0,9677232.0,recompute,master-diff,pim,dynamic,1475440723846.1394,10404237952199.39,551258227.3531661,321596.6116633102,267.35770000016583,11.787729011340213,5.5612622646827586e-05,12.554925798186272,0.014109074988337546,666240.0,550080.0,1,31,32,2,4096.0,8.0,512.0,8.0,1.3004,mq,dag,supervisor,True,9677232.0
GPT-13B,C-lo,8,wl_C16.json,32,A1,34.48691787638211,32477361810099.312,173250969600.0,8702720.0,no-reuse-physical,private,pim,gpu,3335157397265.509,29138600688523.43,3603620167.6585884,104191.75424062418,,17.760168983860368,9.957853258042348,6.1868213044623515,0.0045710968973859106,8048640.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,8702720.0
GPT-13B,C-lo,8,wl_C16.json,32,A2,124.04036065588237,3079311460538.666,22047149260800.0,35288.0,recompute,none,gpu,gpu,2620730755913.7046,,458580704624.5935,,,50.54986311988785,,0.0,0.0,479040.0,0.0,32,0,32,2,4096.0,,,,,,dag,supervisor,,
GPT-13B,C-lo,8,wl_C16.json,32,A3,15.610280546662048,9171315840795.432,94068752416.0,4597032.0,recompute,naive,pim,gpu,1162099519351.8782,8007259635295.79,1956630050.309352,40375.97702396369,15500.40299999691,8.25071841311138,5.5612622646827586e-05,6.269152489861287,0.0017713734128673548,479040.0,0.0,32,0,32,2,4096.0,8.0,512.0,8.0,0.666,replicate,dag,supervisor,True,4597032.0
